Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,yobs_int,piobs_int,rrobs_int,idx_y_int,idx_pi_int,rstar_lw_int,ybar_lw_int,gg_home_int,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign
1980,9,374.486297607422,46.4544571964026,-19.6894226074219,0,1,0.592339133225446,364.071315941704,1.07191627887753,374.486297607422,46.4544571964026,-19.6894226074219,0,1,-0.566051395935745,364.170514876613,1.07521228364062,0.21265775246228,355.962371826172,8.80780124664307,1.32587110996246,0,0,2.17884005531168,357.354176745899,1.01930330524141
1980,12,375.600250244141,46.2641034924412,-11.9747323989868,0,1,0.734856839552328,365.178691006529,1.07007865132134,375.600250244141,46.2641034924412,-11.9747323989868,0,1,-0.582098375998328,365.251136938896,1.06927505741883,0.217456900706571,357.81103515625,9.62799549102783,6.77771997451782,0,0,2.19591578593238,358.490205015327,1.04230640581551
1981,3,375.216979980469,46.6202691288638,-12.0247745513916,0,1,1.01482087616863,366.297796695216,1.0773529880694,375.216979980469,46.6202691288638,-12.0247745513916,0,1,-0.425017832713799,366.338025487198,1.07348348710384,0.2188148905023,359.750885009766,8.77752113342285,6.98759508132935,0,0,2.19334832665126,359.666313718378,1.04881547247893
1981,6,373.854034423828,45.1380923203402,-14.3958044052124,0,1,1.40041805159997,367.43635437174,1.09045943848141,373.854034423828,45.1380923203402,-14.3958044052124,0,1,-0.123201945815753,367.441980581412,1.08577568253145,0.216601744962171,359.006744384766,7.48833751678467,7.81903505325317,0,0,2.17423552217176,360.402894567744,1.03820750480357
1981,9,372.408966064453,43.111844042047,-10.1738700866699,0,1,1.89276723784185,368.591961635827,1.10546027629086,372.408966064453,43.111844042047,-10.1738700866699,0,1,0.315242184827677,368.56492076642,1.10208546815694,0.218187940646345,360.197662353516,7.29952526092529,7.87652778625488,0,0,2.17343961446711,361.626485346848,1.04581039952487
1981,12,371.281616210938,41.3551229751586,-5.74792146682739,0,1,2.52079120068652,369.762580402337,1.12181309840093,371.281616210938,41.3551229751586,-5.74792146682739,0,1,0.90161859395068,369.70405423028,1.12066886497512,0.215307485438646,359.102600097656,7.05227994918823,4.52694797515869,0,0,2.15157890989241,362.456029703927,1.03200390773319
1982,3,370.979919433594,44.3205972348723,-3.15961337089539,0,1,3.27933304691361,370.95940124464,1.1408674922256,370.979919433594,44.3205972348723,-3.15961337089539,0,1,1.6325896383938,370.872514218618,1.14371881990488,0.215053776766347,357.535888671875,5.81238269805908,5.53453922271729,0,0,2.1466878661534,363.190134345751,1.03078784067121
1982,6,371.466705322266,45.4824628308686,3.01957058906555,0,1,4.13550864661865,372.178355938738,1.15784249466493,371.466705322266,45.4824628308686,3.01957058906555,0,1,2.46953378291059,372.066730422795,1.16573751644224,0.218745961484647,357.991271972656,5.37435817718506,6.49524927139282,0,0,2.16262620258899,364.260362053478,1.04848508445071
1982,9,372.110443115234,44.9246120861214,18.2425765991211,0,1,5.07381888387539,373.407564611017,1.16950121224989,372.110443115234,44.9246120861214,18.2425765991211,0,1,3.40401942031984,373.276858191328,1.1838693407651,0.220751234985898,357.608520507812,6.3613657951355,3.97685670852661,0,0,2.17156657935331,365.143867180004,1.05809668752688
1982,12,372.092651367188,41.137346766701,32.1212005615234,0,1,6.05470326566208,374.642479669363,1.17661235173902,372.092651367188,41.137346766701,32.1212005615234,0,1,4.40881931653458,374.503133899007,1.19988146838184,0.224582842139721,357.648223876953,5.53194999694824,2.80404734611511,0,0,2.19144880557473,366.074871139331,1.0764622057883
1983,3,371.181213378906,47.2700652025471,26.8384246826172,0,1,6.9825327119835,375.886384556456,1.17902208271905,371.181213378906,47.2700652025471,26.8384246826172,0,1,5.38833427778675,375.747389904728,1.21263970509554,0.22945132545398,358.958099365234,5.21913862228394,2.50767707824707,0,0,2.21650529029063,367.129771071507,1.0997976406656
1983,6,370.342529296875,48.4879782184971,82.9958114624023,0,1,7.77139599632507,377.117654939427,1.17108824430717,370.342529296875,48.4879782184971,82.9958114624023,0,1,6.26233508652008,376.99312014546,1.21685856170778,0.233327526917586,361.208221435547,3.04846906661987,2.90864014625549,0,0,2.23501941744286,368.273187357615,1.11837690672992
1983,9,369.496490478516,49.5567003039328,55.2280960083008,0,1,8.36672541740533,378.326284332704,1.15503157136487,369.496490478516,49.5567003039328,55.2280960083008,0,1,6.97370971570805,378.233785567632,1.21418529974701,0.234964970325129,363.186309814453,6.03385210037231,3.82983779907227,0,0,2.24098972587907,369.342490718296,1.12622544015101
